Clase,Intervalo,AP@50,AP@50-95,Modelo
0,1,0.8492941472369581,0.4483257246087981,11s_4
0,2,0.9871037891720228,0.6462120414747142,11s_4
0,3,0.9702970297029703,0.6626716056221007,11s_4
0,4,,,11s_4
1,1,0.834408656998468,0.4127992063121567,11s_4
1,2,0.9882927670226674,0.6887015239186977,11s_4
1,3,0.9900990099009901,0.8031834837591081,11s_4
1,4,,,11s_4
2,1,0.0,0.0,11s_4
2,2,0.9364364198399787,0.6431345426302302,11s_4
2,3,0.9563670651146845,0.7203822513651691,11s_4
2,4,1.0,0.6,11s_4
3,1,0.7323604715305793,0.31671922650963313,11s_4
3,2,0.9595444428889919,0.5557845050136347,11s_4
3,3,0.9985148514851477,0.7448706140000241,11s_4
3,4,1.0,0.8504950495049505,11s_4
4,1,0.8861386138613857,0.3191432475290872,11s_4
4,2,0.9541753406632242,0.5027835934843539,11s_4
4,3,0.9736876021489613,0.6290153379046164,11s_4
4,4,1.0,0.712800137156573,11s_4
5,1,0.8727627950352155,0.3877974591815564,11s_4
5,2,0.9630266229885283,0.6357733006583619,11s_4
5,3,0.9688042586552892,0.7336982790502076,11s_4
5,4,1.0,0.6773215893017874,11s_4
