datetime,model,levels,fraction,epochs
2026-03-10 18:37:04,yolo11n.pt,[1],1.0,10
2026-03-10 18:45:44,yolo11n.pt,[2],1.0,30
2026-03-10 19:11:43,yolo11n.pt,[3],1.0,40
2026-03-10 19:47:00,yolo11n.pt,[4],1.0,50
2026-03-10 20:36:20,yolo11s.pt,[1],1.0,10
2026-03-10 20:46:45,yolo11s.pt,[2],1.0,30
2026-03-10 21:20:02,yolo11s.pt,[3],1.0,40
2026-03-10 22:07:00,yolo11s.pt,[4],1.0,50
2026-03-10 23:21:28,yolo11m.pt,[1],1.0,10
2026-03-10 23:37:28,yolo11m.pt,[2],1.0,30
2026-03-11 00:34:45,yolo11m.pt,[3],1.0,40
2026-03-11 01:57:59,yolo11m.pt,[4],1.0,50
2026-03-11 04:18:37,yolo11l.pt,[1],1.0,10
2026-03-11 04:37:49,yolo11l.pt,[2],1.0,30
2026-03-11 05:51:13,yolo11l.pt,[3],1.0,40
2026-03-11 07:37:25,yolo11l.pt,[4],1.0,50
2026-03-11 10:37:01,yolo11x.pt,[1],1.0,10
2026-03-11 11:08:32,yolo11x.pt,[2],1.0,30
2026-03-11 13:13:30,yolo11x.pt,[3],1.0,40
2026-03-11 16:15:44,yolo11x.pt,[4],1.0,50
2026-03-12 18:31:37,yolo11n.pt,[4],1.0,50
2026-03-13 13:21:19,yolo11n.pt,[4],1.0,50
2026-03-13 14:12:20,yolo11s.pt,[4],1.0,50
2026-03-13 15:25:42,yolo11m.pt,[4],1.0,50
2026-03-13 17:51:44,yolo11l.pt,[4],1.0,50
2026-03-13 20:53:29,yolo11x.pt,[4],1.0,50
2026-03-16 12:41:04,yolo11n.pt,[1],1.0,10
2026-03-16 12:43:09,yolo11n.pt,[1],1.0,10
2026-03-16 12:43:29,yolo11n.pt,[1],1.0,10
2026-03-16 12:44:10,yolo11n.pt,[1],1.0,10
2026-03-16 12:50:31,yolo11n.pt,[1],1.0,10
2026-03-16 12:51:55,yolo11n.pt,[1],1.0,10
2026-03-16 12:56:34,yolo11n.pt,[1],1.0,10
2026-03-16 12:57:55,yolo11n.pt,[1],1.0,10
2026-03-16 13:08:14,yolo11n.pt,[2],1.0,30
2026-03-16 13:33:10,yolo11n.pt,[3],1.0,40
2026-03-16 14:08:25,yolo11s.pt,[1],1.0,10
2026-03-16 14:18:16,yolo11s.pt,[2],1.0,30
2026-03-16 14:50:10,yolo11s.pt,[3],1.0,40
2026-03-16 15:35:54,yolo11m.pt,[1],1.0,10
2026-03-16 15:50:50,yolo11m.pt,[2],1.0,30
2026-03-16 16:42:50,yolo11m.pt,[3],1.0,40
2026-03-16 17:57:46,yolo11l.pt,[1],1.0,10
2026-03-16 18:15:19,yolo11l.pt,[2],1.0,30
2026-03-16 19:20:24,yolo11l.pt,[3],1.0,40
2026-03-16 20:54:16,yolo11x.pt,[1],1.0,10
2026-03-16 21:21:59,yolo11x.pt,[2],1.0,30
2026-03-16 23:10:23,yolo11x.pt,[3],1.0,40
2026-05-18 10:09:14,yolo11n.pt,[1],1.0,10
2026-05-18 10:14:28,yolo11n.pt,[1],1.0,10
