Modelo,Formato,Level,Ultimo_bloque,Batch_size,Num_imgs,Num_batches,Inicio,Fin,Tiempo_total_s,Tiempo_medio_img_s,imgs_por_segundo
11n4,pt,3,100,1,386,386,2026-05-20 19:15:56,2026-05-20 19:16:09,12.9233,0.03348,29.87
11n4,pt,3,100,2,386,193,2026-05-20 19:16:20,2026-05-20 19:16:26,6.3223,0.016379,61.05
11n4,pt,3,100,4,386,97,2026-05-20 19:16:36,2026-05-20 19:16:41,4.3282,0.011213,89.18
11n4,pt,3,100,8,386,49,2026-05-20 19:16:51,2026-05-20 19:16:56,4.2936,0.011123,89.9
11n4,pt,3,100,16,386,25,2026-05-20 19:17:06,2026-05-20 19:17:10,4.2781,0.011083,90.23
11n4,pt,3,100,32,386,13,2026-05-20 19:17:24,2026-05-20 19:17:28,4.0127,0.010395,96.2
11n4,engine,3,100,1,386,386,2026-05-20 19:17:44,2026-05-20 19:17:59,14.7673,0.038257,26.14
11n4,engine,3,100,2,386,193,2026-05-20 19:18:09,2026-05-20 19:18:20,10.6541,0.027601,36.23
11n4,engine,3,100,4,386,97,2026-05-20 19:18:30,2026-05-20 19:18:39,9.0986,0.023572,42.42
11n4,engine,3,100,8,386,49,2026-05-20 19:18:49,2026-05-20 19:18:58,8.4537,0.021901,45.66
11n4,engine,3,100,16,386,,2026-05-20 19:18:49,2026-05-20 19:18:58,,,ERROR: list index out of range
11n4,engine,3,100,32,386,,2026-05-20 19:18:49,2026-05-20 19:18:58,,,ERROR: list index out of range
