entity_id,state,last_changed
sensor.shellyplugsg3_8cbfeaa49324_potencia,9.9,2026-05-13T06:00:00.000Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,9.7,2026-05-13T06:00:00.030Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,10.0,2026-05-13T06:01:00.025Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,9.7,2026-05-13T06:02:00.035Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,9.9,2026-05-13T06:03:00.084Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,11.3,2026-05-13T06:03:05.046Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,13.4,2026-05-13T06:03:20.479Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,13.6,2026-05-13T06:03:25.522Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,12.4,2026-05-13T06:03:58.520Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,10.4,2026-05-13T06:04:00.080Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,13.5,2026-05-13T06:05:03.281Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,14.3,2026-05-13T06:05:09.352Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,14.0,2026-05-13T06:05:14.489Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,12.5,2026-05-13T06:05:22.823Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,13.8,2026-05-13T06:05:27.864Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,12.1,2026-05-13T06:05:39.281Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,14.1,2026-05-13T06:05:44.324Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,12.8,2026-05-13T06:05:50.489Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,10.5,2026-05-13T06:05:55.631Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,10.2,2026-05-13T06:06:00.072Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,11.8,2026-05-13T06:06:53.295Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,14.8,2026-05-13T06:06:58.338Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,14.9,2026-05-13T06:07:00.069Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,13.3,2026-05-13T06:07:03.479Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,15.0,2026-05-13T06:07:08.615Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,13.4,2026-05-13T06:07:13.755Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,14.7,2026-05-13T06:07:18.896Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,14.3,2026-05-13T06:07:24.035Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,12.8,2026-05-13T06:07:30.205Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,12.1,2026-05-13T06:07:35.344Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,13.0,2026-05-13T06:07:40.483Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,10.6,2026-05-13T06:07:50.764Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,9.9,2026-05-13T06:08:00.066Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,12.3,2026-05-13T06:08:52.539Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,14.1,2026-05-13T06:08:57.582Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,16.6,2026-05-13T06:09:00.062Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,12.5,2026-05-13T06:09:04.776Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,14.1,2026-05-13T06:09:09.916Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,14.4,2026-05-13T06:09:16.085Z
