entity_id,state,last_changed
sensor.shelly_potencia_real_1s,9.4,2026-05-20T17:15:00.000Z
sensor.shelly_potencia_real_1s,9.9,2026-05-20T17:15:01.723Z
sensor.shelly_potencia_real_1s,8.8,2026-05-20T17:15:02.672Z
sensor.shelly_potencia_real_1s,9.3,2026-05-20T17:15:03.722Z
sensor.shelly_potencia_real_1s,8.6,2026-05-20T17:15:04.722Z
sensor.shelly_potencia_real_1s,9.1,2026-05-20T17:15:05.672Z
sensor.shelly_potencia_real_1s,9.3,2026-05-20T17:15:06.723Z
sensor.shelly_potencia_real_1s,9.5,2026-05-20T17:15:07.672Z
sensor.shelly_potencia_real_1s,9.7,2026-05-20T17:15:08.672Z
sensor.shelly_potencia_real_1s,9.2,2026-05-20T17:15:09.728Z
sensor.shelly_potencia_real_1s,9.3,2026-05-20T17:15:10.723Z
sensor.shelly_potencia_real_1s,10,2026-05-20T17:15:11.723Z
sensor.shelly_potencia_real_1s,10.3,2026-05-20T17:15:13.672Z
sensor.shelly_potencia_real_1s,9.3,2026-05-20T17:15:14.723Z
sensor.shelly_potencia_real_1s,9.7,2026-05-20T17:15:15.672Z
sensor.shelly_potencia_real_1s,9.1,2026-05-20T17:15:16.671Z
sensor.shelly_potencia_real_1s,9.8,2026-05-20T17:15:17.672Z
sensor.shelly_potencia_real_1s,9,2026-05-20T17:15:19.728Z
sensor.shelly_potencia_real_1s,9.8,2026-05-20T17:15:20.722Z
sensor.shelly_potencia_real_1s,9.5,2026-05-20T17:15:21.671Z
sensor.shelly_potencia_real_1s,9.6,2026-05-20T17:15:22.721Z
sensor.shelly_potencia_real_1s,8.5,2026-05-20T17:15:23.722Z
sensor.shelly_potencia_real_1s,8.8,2026-05-20T17:15:24.671Z
sensor.shelly_potencia_real_1s,10.3,2026-05-20T17:15:25.674Z
sensor.shelly_potencia_real_1s,12.6,2026-05-20T17:15:26.671Z
sensor.shelly_potencia_real_1s,12.8,2026-05-20T17:15:27.721Z
sensor.shelly_potencia_real_1s,12.7,2026-05-20T17:15:28.673Z
sensor.shelly_potencia_real_1s,12.4,2026-05-20T17:15:29.678Z
sensor.shelly_potencia_real_1s,12.3,2026-05-20T17:15:30.721Z
sensor.shelly_potencia_real_1s,11.7,2026-05-20T17:15:31.721Z
sensor.shelly_potencia_real_1s,12.7,2026-05-20T17:15:32.671Z
sensor.shelly_potencia_real_1s,11.9,2026-05-20T17:15:34.704Z
sensor.shelly_potencia_real_1s,11.2,2026-05-20T17:15:35.671Z
sensor.shelly_potencia_real_1s,11.4,2026-05-20T17:15:38.670Z
sensor.shelly_potencia_real_1s,11.5,2026-05-20T17:15:39.704Z
sensor.shelly_potencia_real_1s,11.4,2026-05-20T17:15:40.729Z
sensor.shelly_potencia_real_1s,11.2,2026-05-20T17:15:41.722Z
sensor.shelly_potencia_real_1s,11.3,2026-05-20T17:15:42.704Z
sensor.shelly_potencia_real_1s,11.4,2026-05-20T17:15:43.670Z
sensor.shelly_potencia_real_1s,11.1,2026-05-20T17:15:44.721Z
sensor.shelly_potencia_real_1s,11.2,2026-05-20T17:15:45.721Z
sensor.shelly_potencia_real_1s,11.6,2026-05-20T17:15:46.722Z
sensor.shelly_potencia_real_1s,10.6,2026-05-20T17:15:47.670Z
sensor.shelly_potencia_real_1s,10.7,2026-05-20T17:15:50.678Z
sensor.shelly_potencia_real_1s,10.6,2026-05-20T17:15:51.720Z
sensor.shelly_potencia_real_1s,10.9,2026-05-20T17:15:52.670Z
sensor.shelly_potencia_real_1s,10.7,2026-05-20T17:15:53.720Z
sensor.shelly_potencia_real_1s,10.4,2026-05-20T17:15:54.670Z
sensor.shelly_potencia_real_1s,10.6,2026-05-20T17:15:55.672Z
sensor.shelly_potencia_real_1s,11,2026-05-20T17:15:56.721Z
sensor.shelly_potencia_real_1s,13.7,2026-05-20T17:15:57.670Z
sensor.shelly_potencia_real_1s,13.4,2026-05-20T17:15:58.670Z
sensor.shelly_potencia_real_1s,13.7,2026-05-20T17:15:59.671Z
sensor.shelly_potencia_real_1s,13.8,2026-05-20T17:16:01.676Z
sensor.shelly_potencia_real_1s,14,2026-05-20T17:16:02.720Z
sensor.shelly_potencia_real_1s,13.7,2026-05-20T17:16:03.670Z
sensor.shelly_potencia_real_1s,14.4,2026-05-20T17:16:04.721Z
sensor.shelly_potencia_real_1s,14,2026-05-20T17:16:05.720Z
sensor.shelly_potencia_real_1s,14.4,2026-05-20T17:16:06.670Z
sensor.shelly_potencia_real_1s,14.5,2026-05-20T17:16:07.720Z
sensor.shelly_potencia_real_1s,13.8,2026-05-20T17:16:09.723Z
sensor.shelly_potencia_real_1s,11.9,2026-05-20T17:16:10.669Z
sensor.shelly_potencia_real_1s,10,2026-05-20T17:16:11.727Z
sensor.shelly_potencia_real_1s,10.3,2026-05-20T17:16:12.671Z
sensor.shelly_potencia_real_1s,9.9,2026-05-20T17:16:13.673Z
sensor.shelly_potencia_real_1s,9.7,2026-05-20T17:16:14.671Z
sensor.shelly_potencia_real_1s,9.5,2026-05-20T17:16:15.670Z
sensor.shelly_potencia_real_1s,8.6,2026-05-20T17:16:16.719Z
sensor.shelly_potencia_real_1s,9.1,2026-05-20T17:16:17.721Z
sensor.shelly_potencia_real_1s,9,2026-05-20T17:16:19.721Z
sensor.shelly_potencia_real_1s,16.2,2026-05-20T17:16:20.671Z
sensor.shelly_potencia_real_1s,19.6,2026-05-20T17:16:21.719Z
sensor.shelly_potencia_real_1s,20.2,2026-05-20T17:16:22.675Z
sensor.shelly_potencia_real_1s,20.1,2026-05-20T17:16:23.669Z
sensor.shelly_potencia_real_1s,20.3,2026-05-20T17:16:24.719Z
sensor.shelly_potencia_real_1s,20.1,2026-05-20T17:16:25.669Z
sensor.shelly_potencia_real_1s,19.9,2026-05-20T17:16:26.669Z
sensor.shelly_potencia_real_1s,10.6,2026-05-20T17:16:27.702Z
sensor.shelly_potencia_real_1s,9.5,2026-05-20T17:16:28.669Z
sensor.shelly_potencia_real_1s,10.1,2026-05-20T17:16:29.720Z
sensor.shelly_potencia_real_1s,8.9,2026-05-20T17:16:30.668Z
sensor.shelly_potencia_real_1s,9.1,2026-05-20T17:16:31.719Z
sensor.shelly_potencia_real_1s,9.4,2026-05-20T17:16:32.725Z
sensor.shelly_potencia_real_1s,9.2,2026-05-20T17:16:34.668Z
sensor.shelly_potencia_real_1s,8.9,2026-05-20T17:16:35.719Z
sensor.shelly_potencia_real_1s,10.3,2026-05-20T17:16:36.719Z
sensor.shelly_potencia_real_1s,19.6,2026-05-20T17:16:37.669Z
sensor.shelly_potencia_real_1s,25.7,2026-05-20T17:16:38.665Z
sensor.shelly_potencia_real_1s,25.3,2026-05-20T17:16:39.716Z
sensor.shelly_potencia_real_1s,25.7,2026-05-20T17:16:40.665Z
sensor.shelly_potencia_real_1s,12.2,2026-05-20T17:16:41.716Z
sensor.shelly_potencia_real_1s,10.7,2026-05-20T17:16:42.678Z
sensor.shelly_potencia_real_1s,10.5,2026-05-20T17:16:44.668Z
sensor.shelly_potencia_real_1s,9.4,2026-05-20T17:16:45.669Z
sensor.shelly_potencia_real_1s,8.9,2026-05-20T17:16:46.720Z
sensor.shelly_potencia_real_1s,8.7,2026-05-20T17:16:47.668Z
sensor.shelly_potencia_real_1s,8.8,2026-05-20T17:16:48.718Z
sensor.shelly_potencia_real_1s,8.9,2026-05-20T17:16:49.668Z
sensor.shelly_potencia_real_1s,8.6,2026-05-20T17:16:50.668Z
sensor.shelly_potencia_real_1s,21.2,2026-05-20T17:16:52.718Z
sensor.shelly_potencia_real_1s,25.6,2026-05-20T17:16:53.675Z
sensor.shelly_potencia_real_1s,26.1,2026-05-20T17:16:54.718Z
sensor.shelly_potencia_real_1s,25.5,2026-05-20T17:16:55.668Z
sensor.shelly_potencia_real_1s,14.8,2026-05-20T17:16:56.718Z
sensor.shelly_potencia_real_1s,11.1,2026-05-20T17:16:57.718Z
sensor.shelly_potencia_real_1s,9.7,2026-05-20T17:16:58.668Z
sensor.shelly_potencia_real_1s,9.3,2026-05-20T17:16:59.669Z
sensor.shelly_potencia_real_1s,8.6,2026-05-20T17:17:00.718Z
sensor.shelly_potencia_real_1s,9.3,2026-05-20T17:17:01.668Z
sensor.shelly_potencia_real_1s,9.4,2026-05-20T17:17:03.707Z
sensor.shelly_potencia_real_1s,9.2,2026-05-20T17:17:04.669Z
sensor.shelly_potencia_real_1s,9,2026-05-20T17:17:05.718Z
sensor.shelly_potencia_real_1s,18.2,2026-05-20T17:17:06.669Z
sensor.shelly_potencia_real_1s,25.9,2026-05-20T17:17:07.718Z
sensor.shelly_potencia_real_1s,26.6,2026-05-20T17:17:08.667Z
sensor.shelly_potencia_real_1s,26.9,2026-05-20T17:17:09.718Z
sensor.shelly_potencia_real_1s,19.6,2026-05-20T17:17:10.668Z
sensor.shelly_potencia_real_1s,12.5,2026-05-20T17:17:11.720Z
sensor.shelly_potencia_real_1s,11,2026-05-20T17:17:12.674Z
sensor.shelly_potencia_real_1s,10.7,2026-05-20T17:17:13.725Z
sensor.shelly_potencia_real_1s,9.5,2026-05-20T17:17:14.668Z
sensor.shelly_potencia_real_1s,9.7,2026-05-20T17:17:15.667Z
sensor.shelly_potencia_real_1s,9.8,2026-05-20T17:17:16.717Z
sensor.shelly_potencia_real_1s,9.2,2026-05-20T17:17:17.667Z
sensor.shelly_potencia_real_1s,10.2,2026-05-20T17:17:19.667Z
sensor.shelly_potencia_real_1s,9.6,2026-05-20T17:17:20.667Z
sensor.shelly_potencia_real_1s,11.5,2026-05-20T17:17:21.667Z
sensor.shelly_potencia_real_1s,11.3,2026-05-20T17:17:22.717Z
sensor.shelly_potencia_real_1s,11.8,2026-05-20T17:17:23.726Z
sensor.shelly_potencia_real_1s,12.7,2026-05-20T17:17:24.717Z
sensor.shelly_potencia_real_1s,27.9,2026-05-20T17:17:25.667Z
sensor.shelly_potencia_real_1s,25.6,2026-05-20T17:17:26.717Z
sensor.shelly_potencia_real_1s,26.9,2026-05-20T17:17:27.667Z
sensor.shelly_potencia_real_1s,17.8,2026-05-20T17:17:28.715Z
sensor.shelly_potencia_real_1s,12.1,2026-05-20T17:17:29.717Z
sensor.shelly_potencia_real_1s,11.4,2026-05-20T17:17:30.666Z
sensor.shelly_potencia_real_1s,10.8,2026-05-20T17:17:31.667Z
sensor.shelly_potencia_real_1s,10.4,2026-05-20T17:17:32.667Z
sensor.shelly_potencia_real_1s,10.9,2026-05-20T17:17:33.718Z
sensor.shelly_potencia_real_1s,11.2,2026-05-20T17:17:34.724Z
sensor.shelly_potencia_real_1s,11.5,2026-05-20T17:17:35.668Z
sensor.shelly_potencia_real_1s,11.8,2026-05-20T17:17:36.667Z
sensor.shelly_potencia_real_1s,11.6,2026-05-20T17:17:37.716Z
sensor.shelly_potencia_real_1s,11.4,2026-05-20T17:17:40.666Z
sensor.shelly_potencia_real_1s,11.5,2026-05-20T17:17:41.666Z
sensor.shelly_potencia_real_1s,11.3,2026-05-20T17:17:42.666Z
sensor.shelly_potencia_real_1s,12.2,2026-05-20T17:17:45.718Z
sensor.shelly_potencia_real_1s,12.1,2026-05-20T17:17:46.719Z
sensor.shelly_potencia_real_1s,11.8,2026-05-20T17:17:47.699Z
sensor.shelly_potencia_real_1s,11.4,2026-05-20T17:17:48.666Z
sensor.shelly_potencia_real_1s,11.1,2026-05-20T17:17:49.716Z
sensor.shelly_potencia_real_1s,11.3,2026-05-20T17:17:51.716Z
sensor.shelly_potencia_real_1s,11.2,2026-05-20T17:17:52.718Z
sensor.shelly_potencia_real_1s,11.5,2026-05-20T17:17:53.717Z
sensor.shelly_potencia_real_1s,11,2026-05-20T17:17:55.672Z
sensor.shelly_potencia_real_1s,10.9,2026-05-20T17:17:57.717Z
sensor.shelly_potencia_real_1s,11.3,2026-05-20T17:17:58.666Z
sensor.shelly_potencia_real_1s,11.4,2026-05-20T17:17:59.666Z
sensor.shelly_potencia_real_1s,9.4,2026-05-20T17:18:00.665Z
sensor.shelly_potencia_real_1s,9.7,2026-05-20T17:18:01.666Z
sensor.shelly_potencia_real_1s,9.4,2026-05-20T17:18:02.717Z
sensor.shelly_potencia_real_1s,9.8,2026-05-20T17:18:04.716Z
sensor.shelly_potencia_real_1s,9.6,2026-05-20T17:18:05.671Z
sensor.shelly_potencia_real_1s,9.4,2026-05-20T17:18:06.716Z
sensor.shelly_potencia_real_1s,9.9,2026-05-20T17:18:07.717Z
sensor.shelly_potencia_real_1s,9.6,2026-05-20T17:18:08.699Z
sensor.shelly_potencia_real_1s,9.7,2026-05-20T17:18:09.717Z
sensor.shelly_potencia_real_1s,12.1,2026-05-20T17:18:10.699Z
sensor.shelly_potencia_real_1s,13.1,2026-05-20T17:18:11.666Z
sensor.shelly_potencia_real_1s,12.5,2026-05-20T17:18:12.666Z
sensor.shelly_potencia_real_1s,12.3,2026-05-20T17:18:13.717Z
sensor.shelly_potencia_real_1s,11.6,2026-05-20T17:18:14.666Z
sensor.shelly_potencia_real_1s,11.5,2026-05-20T17:18:15.722Z
sensor.shelly_potencia_real_1s,11.8,2026-05-20T17:18:16.665Z
