entity_id,state,last_changed
sensor.shelly_potencia_real_1s,3.7,2026-02-25T12:35:00.000Z
sensor.shelly_potencia_real_1s,3.8,2026-02-25T12:35:01.414Z
sensor.shelly_potencia_real_1s,3.7,2026-02-25T12:35:02.376Z
sensor.shelly_potencia_real_1s,3.6,2026-02-25T12:35:05.428Z
sensor.shelly_potencia_real_1s,3.7,2026-02-25T12:35:06.377Z
sensor.shelly_potencia_real_1s,3.8,2026-02-25T12:35:07.415Z
sensor.shelly_potencia_real_1s,3.7,2026-02-25T12:35:08.383Z
sensor.shelly_potencia_real_1s,3.8,2026-02-25T12:35:13.376Z
sensor.shelly_potencia_real_1s,3.7,2026-02-25T12:35:16.409Z
sensor.shelly_potencia_real_1s,3.8,2026-02-25T12:35:17.375Z
sensor.shelly_potencia_real_1s,3.7,2026-02-25T12:35:18.432Z
sensor.shelly_potencia_real_1s,3.6,2026-02-25T12:35:26.425Z
sensor.shelly_potencia_real_1s,3.8,2026-02-25T12:35:27.375Z
sensor.shelly_potencia_real_1s,3.7,2026-02-25T12:35:28.432Z
sensor.shelly_potencia_real_1s,4,2026-02-25T12:35:31.374Z
sensor.shelly_potencia_real_1s,3.8,2026-02-25T12:35:32.424Z
sensor.shelly_potencia_real_1s,3.7,2026-02-25T12:35:33.408Z
sensor.shelly_potencia_real_1s,3.6,2026-02-25T12:35:34.374Z
sensor.shelly_potencia_real_1s,3.8,2026-02-25T12:35:35.375Z
sensor.shelly_potencia_real_1s,3.7,2026-02-25T12:35:36.374Z
sensor.shelly_potencia_real_1s,3.6,2026-02-25T12:35:37.384Z
sensor.shelly_potencia_real_1s,3.7,2026-02-25T12:35:38.431Z
sensor.shelly_potencia_real_1s,3.6,2026-02-25T12:35:45.374Z
sensor.shelly_potencia_real_1s,3.8,2026-02-25T12:35:46.424Z
sensor.shelly_potencia_real_1s,3.7,2026-02-25T12:35:47.372Z
sensor.shelly_potencia_real_1s,3.8,2026-02-25T12:35:50.373Z
sensor.shelly_potencia_real_1s,3.9,2026-02-25T12:35:51.423Z
sensor.shelly_potencia_real_1s,5,2026-02-25T12:35:52.376Z
