class_id,class_name,mAP50,mAP50-95
0,sheep,0.9178130668313274,0.5021765561864744
1,cattle,0.89828843238863,0.5315598625156224
2,seal,0.9253982379732301,0.5822322650830004
3,camelus,0.631666178286221,0.2860934660460415
4,kiang,0.7281374655714448,0.317684816711489
5,zebra,0.738156812694634,0.3709093140270795
6,crocodile,0.563658168477756,0.21400515248907892
7,elephant,0.4613431527284051,0.12814415126793882
8,deer,0.3506966970765803,0.20009616523848117
9,horse,0.995,0.5111231493179529

GLOBAL,all,0.7210158212028228,0.3644024898883159
