Clase,Intervalo,AP@50,AP@50-95,Modelo
0,1,0.8492941472369581,0.4483257246087981,11s_4
0,2,0.9871037891720228,0.6462120414747142,11s_4
0,3,0.9702970297029704,0.6626716056221007,11s_4
0,4,,,11s_4
1,1,0.834408656998468,0.4127992063121567,11s_4
1,2,0.9882927670226674,0.6887015239186977,11s_4
1,3,0.99009900990099,0.8031834837591081,11s_4
1,4,,,11s_4
2,1,0.0,0.0,11s_4
2,2,0.9364364198399788,0.6431345426302302,11s_4
2,3,0.9563670651146844,0.7203822513651691,11s_4
2,4,1.0,0.6,11s_4
3,1,0.7323604715305793,0.3167192265096331,11s_4
3,2,0.959544442888992,0.5557845050136347,11s_4
3,3,0.9985148514851476,0.7448706140000241,11s_4
3,4,1.0,0.8504950495049505,11s_4
4,1,0.8861386138613857,0.3191432475290872,11s_4
4,2,0.9541753406632242,0.5027835934843539,11s_4
4,3,0.9736876021489612,0.6290153379046164,11s_4
4,4,1.0,0.712800137156573,11s_4
5,1,0.8727627950352155,0.3877974591815564,11s_4
5,2,0.9630266229885284,0.6357733006583619,11s_4
5,3,0.9688042586552892,0.7336982790502076,11s_4
5,4,1.0,0.6773215893017874,11s_4
0,1,0.8149013229122108,0.4109361205626483,11n_4
0,2,0.9852311940499856,0.6234214535621325,11n_4
0,3,0.9702970297029704,0.621390541995376,11n_4
0,4,,,11n_4
1,1,0.7940301341322645,0.3647052944417734,11n_4
1,2,0.977858200359075,0.6721570411154215,11n_4
1,3,0.99009900990099,0.7973632756563921,11n_4
1,4,,,11n_4
2,1,0.0,0.0,11n_4
2,2,0.9367142492321836,0.6271840381750374,11n_4
2,3,0.9535633214725328,0.7114720193135561,11n_4
2,4,1.0,0.8,11n_4
3,1,0.576561282158519,0.2151097540254142,11n_4
3,2,0.9205222556958044,0.4821031548984146,11n_4
3,3,0.9983922920593948,0.7251288076291023,11n_4
3,4,1.0,0.9,11n_4
4,1,0.6458332930067198,0.200517940710531,11n_4
4,2,0.8975714610881688,0.4630443533439538,11n_4
4,3,0.9337064767851736,0.5936965824304744,11n_4
4,4,1.0,0.8013998542711415,11n_4
5,1,0.7225941543515929,0.2764177345817718,11n_4
5,2,0.9311730615017888,0.585147285660099,11n_4
5,3,0.9783561367719784,0.726990425278031,11n_4
5,4,1.0,0.8349976426214049,11n_4
0,1,0.8643822401701564,0.4674396529799171,11m_4
0,2,0.9873165125309054,0.6575555373233769,11m_4
0,3,1.0,0.6476874115983028,11m_4
0,4,,,11m_4
1,1,0.8382685115676852,0.4250604374411326,11m_4
1,2,0.9886082670018508,0.6956123992973392,11m_4
1,3,0.99009900990099,0.8119022293941336,11m_4
1,4,,,11m_4
2,1,0.0,0.0,11m_4
2,2,0.936095443139124,0.6481141680952334,11m_4
2,3,0.9566306283508472,0.7300816228817764,11m_4
2,4,1.0,0.6,11m_4
3,1,0.7526551738622246,0.3122354009836792,11m_4
3,2,0.9633813057023484,0.5673451295364658,11m_4
3,3,1.0,0.7309140809514038,11m_4
3,4,1.0,0.8,11m_4
4,1,0.8577463009458828,0.2814917125117289,11m_4
4,2,0.9360810549092028,0.4909094511067755,11m_4
4,3,0.966706848660879,0.6534428038097173,11m_4
4,4,1.0,0.7188531353135311,11m_4
5,1,0.9505496068115435,0.436952131481051,11m_4
5,2,0.9774235247875964,0.6558364649345922,11m_4
5,3,0.9661590615583304,0.7181052388917266,11m_4
