Intervalo,mAP@50,mAP@50-95,Modelo
1,0.6958274474437678,0.3141308106902052,11s_4
2,0.9647632304292356,0.6120649178633321,11s_4
3,0.9762949695013404,0.7156369286168709,11s_4
4,1.0,0.7101541939908277,11s_4
1,0.5923200310935511,0.2446144740536898,11n_4
2,0.9415117369878344,0.5755095544591765,11n_4
3,0.9707357111155068,0.6960069420504887,11n_4
4,1.0,0.8340993742231366,11n_4
1,0.7106003055595821,0.3205298892329182,11m_4
2,0.9648176846785046,0.619228858382297,11m_4
3,0.9799325914118412,0.7153555645878433,11m_4
4,0.9959231217239368,0.7023903286821893,11m_4
1,0.7272648499997741,0.3319564820412423,11l_4
2,0.9633415701836158,0.6216122372425603,11l_4
3,0.9715131276201644,0.7110362847349316,11l_4
4,0.9979615608619684,0.7890815667701223,11l_4
1,0.7141704640282643,0.33568258991592986,11x_4
2,0.9650511503014862,0.6266439562011367,11x_4
3,0.9718052712184656,0.7215166147651315,11x_4
4,0.9895489548954892,0.7788008800880087,11x_4
