base_model,train_level,class_id,class_name,map50,map50_95
yolo11n.pt,1,0,sheep,0.7760034643105914,0.36661744520865647
yolo11n.pt,1,1,cattle,0.7656106456182004,0.4106115620398385
yolo11n.pt,1,2,seal,0.80285283029835,0.46014217122183576
yolo11n.pt,1,3,camelus,0.5168181200276035,0.24581415169507553
yolo11n.pt,1,4,kiang,0.5756215359013056,0.26702809683982454
yolo11n.pt,1,5,zebra,0.4964827661895373,0.29310345181422964
yolo11n.pt,2,0,sheep,0.9576398697393924,0.5652460804702524
yolo11n.pt,2,1,cattle,0.9587628880286613,0.6243773229086582
yolo11n.pt,2,2,seal,0.9764244091223817,0.6776130296603047
yolo11n.pt,2,3,camelus,0.8579232047977507,0.4726817115404107
yolo11n.pt,2,4,kiang,0.9265260472055442,0.49484728892537627
yolo11n.pt,2,5,zebra,0.8528663684105947,0.5006504393452536
yolo11n.pt,3,0,sheep,0.964542222234948,0.584542223415138
yolo11n.pt,3,1,cattle,0.9658668356241313,0.6390248649889891
yolo11n.pt,3,2,seal,0.9808510329304977,0.6964958334088487
yolo11n.pt,3,3,camelus,0.8780682830007572,0.4926506246385992
yolo11n.pt,3,4,kiang,0.9206774924455082,0.5027433094642548
yolo11n.pt,3,5,zebra,0.8871122085406741,0.5324101623224692
yolo11n.pt,4,0,sheep,0.9741762499187936,0.6247001782394832
yolo11n.pt,4,1,cattle,0.9697611356281369,0.6578018463969871
yolo11n.pt,4,2,seal,0.9836173533442786,0.7059930300272
yolo11n.pt,4,3,camelus,0.8924534876047843,0.4984111736316483
yolo11n.pt,4,4,kiang,0.9122115448685505,0.5062977528740269
yolo11n.pt,4,5,zebra,0.9124487548599252,0.5584113149235282
yolo11s.pt,1,0,sheep,0.8715835052807072,0.4422495589978566
yolo11s.pt,1,1,cattle,0.8547892669160355,0.4923545087437309
yolo11s.pt,1,2,seal,0.8256844542283962,0.4690166785397172
yolo11s.pt,1,3,camelus,0.6102806997184685,0.3062993670123458
yolo11s.pt,1,4,kiang,0.7250806516394556,0.3411834060409328
yolo11s.pt,1,5,zebra,0.6028195168414245,0.3766355169409812
